latencia_espacios_ms,deadline_ms,p50_ms,p95_ms,porcentaje_200,porcentaje_504,n
0,500,45.4,184.7,100.0,0.0,600
250,500,272.1,295.0,100.0,0.0,600
500,500,517.4,544.5,1.0,99.0,600
750,500,516.5,541.6,0.0,100.0,600
1000,500,515.7,536.8,0.0,100.0,600
1500,500,517.2,552.5,0.0,100.0,600
2000,500,517.1,549.0,0.0,100.0,600
0,1000,82.6,235.6,100.0,0.0,600
250,1000,272.3,295.7,100.0,0.0,600
500,1000,520.8,547.1,100.0,0.0,600
750,1000,768.2,790.5,100.0,0.0,600
1000,1000,1017.5,1044.6,3.2,96.8,600
1500,1000,1017.6,1042.1,0.0,100.0,600
2000,1000,1018.2,1039.7,0.0,100.0,600
0,30000,54.0,293.3,100.0,0.0,600
250,30000,272.4,314.5,100.0,0.0,600
500,30000,519.6,541.2,100.0,0.0,600
750,30000,771.4,807.9,100.0,0.0,600
1000,30000,1018.8,1051.2,100.0,0.0,600
1500,30000,1521.1,1543.5,100.0,0.0,600
2000,30000,2024.5,2055.0,100.0,0.0,600
